trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",35,0,-138.59911619072525,"{0: 26, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.2, 'e': 0.98}",20,0,-140.53087548219287,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.97}",25,0,-60.77539011646067,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.96}",30,0,-136.11967281247087,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.95}",30,0,-153.36685276192347,"{0: 15, 1: 9, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.94}",20,0,-102.68992092925541,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.9299999999999999}",25,0,-143.99539470185124,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.9199999999999999}",20,0,-95.53298192594534,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9099999999999999}",20,0,-84.04776412661288,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.8999999999999999}",20,0,-184.3789487249289,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
11,False,"{'a': 0.2, 'e': 0.8899999999999999}",20,3,-58.667256746849446,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.2, 'e': 0.8799999999999999}",20,0,-41.661435678185526,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.8699999999999999}",20,1,-57.019640766516126,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 0}",1
14,False,"{'a': 0.2, 'e': 0.8599999999999999}",20,0,-74.17911821010011,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.8499999999999999}",25,0,-44.48532728850899,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.8399999999999999}",20,0,-86.14728561469235,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.8299999999999998}",20,0,-175.76691509412888,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.2, 'e': 0.8199999999999998}",25,0,-34.12655036966437,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.8099999999999998}",20,0,5.930341436901438,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.7999999999999998}",20,0,-69.11052474627607,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.7899999999999998}",20,11,1.0793121568939017,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.7799999999999998}",25,0,-19.552838465796334,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.7699999999999998}",30,0,-147.13397025699754,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
24,False,"{'a': 0.2, 'e': 0.7599999999999998}",20,0,-126.2194004533961,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.2, 'e': 0.7499999999999998}",20,8,-33.5311636644428,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.7399999999999998}",25,0,-182.06248051643635,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
27,False,"{'a': 0.2, 'e': 0.7299999999999998}",20,0,-74.83154516157725,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.2, 'e': 0.7199999999999998}",25,15,-8.754837812894404,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.7099999999999997}",20,0,-53.55475215430083,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
30,False,"{'a': 0.2, 'e': 0.6999999999999997}",20,0,-3.6441300394371376,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.2, 'e': 0.6899999999999997}",20,3,-59.69282767818169,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
32,False,"{'a': 0.2, 'e': 0.6799999999999997}",20,6,-104.1823455691176,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
33,False,"{'a': 0.2, 'e': 0.6699999999999997}",25,17,3.2712131457882174,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.2, 'e': 0.6599999999999997}",20,0,-38.343544343495125,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.6499999999999997}",20,14,-2.7107994132116433,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.2, 'e': 0.6399999999999997}",20,0,-21.554142955444316,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.2, 'e': 0.6299999999999997}",30,15,-59.73699701616049,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
38,False,"{'a': 0.2, 'e': 0.6199999999999997}",20,5,-22.904920709548872,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.2, 'e': 0.6099999999999997}",20,11,-88.46976854158422,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 2}",1
40,False,"{'a': 0.2, 'e': 0.5999999999999996}",20,10,-37.318865352011706,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.2, 'e': 0.5899999999999996}",20,14,-3.0618669165422867,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.2, 'e': 0.5799999999999996}",20,11,-10.255727304423516,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
