trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",25,0,-26.08861510528891,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.98}",20,0,-158.8234090321011,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.97}",20,3,-105.05274177816294,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.2, 'e': 0.96}",20,0,-103.24992086696079,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.95}",20,0,-97.60802269856474,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.94}",20,0,-30.495859804072747,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.9299999999999999}",25,0,-82.69672165355001,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.9199999999999999}",20,0,-87.48496518165615,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.9099999999999999}",20,0,-93.44643162360339,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.8999999999999999}",20,13,-9.587196631539456,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.8899999999999999}",20,0,-38.17506471269927,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.8799999999999999}",30,0,-117.01004961448919,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.8699999999999999}",25,0,-106.68760593469878,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.8599999999999999}",20,0,-96.76172830917783,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.8499999999999999}",25,0,-246.3689216531412,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 5}",0
16,False,"{'a': 0.2, 'e': 0.8399999999999999}",20,0,-83.37013743484249,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.8299999999999998}",25,0,-212.2838915506416,"{0: 12, 1: 0, 2: 7, 3: 4, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.8199999999999998}",20,1,-103.1423591800166,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 1}",1
19,False,"{'a': 0.2, 'e': 0.8099999999999998}",20,0,-98.87981261994855,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.7999999999999998}",20,0,-180.44967817976635,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,-129.18691846915019,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-117.7774370785281,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-109.36262927062987,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-71.03552974104552,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-128.12275085323745,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-81.82342006041549,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-31.624184051085944,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-86.21557203121428,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-203.75256673715927,"{0: 10, 1: 2, 2: 10, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-133.00221259580277,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
