trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.999}",30,0,-160.11363088336145,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.998}",20,0,-102.27622127977398,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.997}",20,0,-60.06777679173723,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.996}",20,0,-86.50537979351937,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.995}",20,0,-74.75650707240148,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.994}",30,0,-121.74852094813112,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.993}",35,0,-145.11600335595654,"{0: 25, 1: 1, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.992}",25,0,-164.67084997507578,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.05, 'e': 0.991}",30,0,-192.41084014356161,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.99}",20,0,-198.0831613056198,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.05, 'e': 0.989}",20,0,-106.14905579446436,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.05, 'e': 0.988}",30,0,-176.490873307663,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.05, 'e': 0.987}",25,0,-88.42112448227319,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.986}",20,0,-159.10006373957918,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.05, 'e': 0.985}",20,0,-20.58927847391356,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.984}",25,0,-73.1394011326735,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.983}",20,0,-194.02062920785983,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
18,False,"{'a': 0.05, 'e': 0.982}",25,0,-91.51991019719871,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.981}",20,0,-104.49924003549386,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.05, 'e': 0.98}",25,6,-161.29278933575236,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 3}",1
21,False,"{'a': 0.05, 'e': 0.979}",20,0,-56.95665474900204,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.978}",20,0,-112.576161913428,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.05, 'e': 0.977}",20,0,-89.2778539906933,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.976}",30,0,-125.59523731323807,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
25,False,"{'a': 0.05, 'e': 0.975}",20,0,-148.50480535010803,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
26,False,"{'a': 0.05, 'e': 0.974}",30,0,-228.140949115831,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
27,False,"{'a': 0.05, 'e': 0.973}",25,0,-77.34443520686553,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.05, 'e': 0.972}",30,0,-83.94744938603223,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.05, 'e': 0.971}",25,0,14.185813283323212,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.05, 'e': 0.97}",20,0,-151.56452876691935,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
31,False,"{'a': 0.05, 'e': 0.969}",30,0,-247.71968420123335,"{0: 15, 1: 5, 2: 4, 3: 2, 4: 4}",0
32,False,"{'a': 0.05, 'e': 0.968}",25,0,-22.365607163502965,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
