trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-138.953404122897,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-66.32985162139354,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-104.3797369424762,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-111.18681452731842,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-119.57267396706393,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,1,18.39206032395258,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-2.289228026614329,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-103.10514006555857,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-84.69305147267714,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,2.854602249749247,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-110.23861123104739,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-33.95371637244427,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-197.19870357526148,"{0: 15, 1: 2, 2: 1, 3: 4, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,1,-43.903934198287395,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-29.35434654400812,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,1.227626688226904,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-23.80662775805767,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-43.786011878898485,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,20.276360903366417,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-27.688531692583947,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",35,0,-0.9990604030345047,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-17.261060014353255,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-40.29771542856837,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-11.380086313517857,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,1,-23.05898460547818,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,13,29.51470341271666,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,1.8991321813941116,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,21,24.255262304435725,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,26.82314742605944,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,3.858740318532065,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
