trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.99}",25,0,-163.0860772381332,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.98}",35,0,-151.33016090313475,"{0: 22, 1: 0, 2: 10, 3: 2, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.97}",20,0,-32.97989727134673,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.96}",30,0,-92.98369149490588,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.95}",20,0,-118.78918739504509,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.94}",25,0,-37.068730472462995,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.9299999999999999}",25,0,-112.2799578196422,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-41.00105294622384,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9099999999999999}",20,0,-84.78784220830006,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,0,-81.98190080909527,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.8899999999999999}",20,0,-81.8318703466938,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.8799999999999999}",30,0,-116.04510655721778,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.8699999999999999}",30,0,-34.709277482508504,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.8599999999999999}",25,1,-37.18879301541195,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.8499999999999999}",20,0,-67.0574166434517,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.8399999999999999}",25,0,-36.53653176570735,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.8299999999999998}",20,10,-50.75115232791108,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.1, 'e': 0.8199999999999998}",20,12,-23.472744759699534,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.8099999999999998}",25,0,-66.64053565760057,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.7999999999999998}",25,0,-100.98964703003035,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.7899999999999998}",30,0,-151.6333084746096,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.1, 'e': 0.7799999999999998}",25,0,-62.43940208133283,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.7699999999999998}",25,0,-159.22003167376775,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.7599999999999998}",20,8,-44.52862984276719,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.1, 'e': 0.7499999999999998}",25,0,-111.5730825108338,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.7399999999999998}",30,0,-25.203967054220662,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.1, 'e': 0.7299999999999998}",20,16,8.357232978675633,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.7199999999999998}",20,0,-11.670692584494086,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
29,False,"{'a': 0.1, 'e': 0.7099999999999997}",20,0,-45.83277406963259,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.1, 'e': 0.6999999999999997}",25,0,-93.21506963610719,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.6899999999999997}",25,0,-74.79571168877585,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.6799999999999997}",20,0,-88.93030577923146,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.6699999999999997}",20,0,-7.1527846833065745,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.6599999999999997}",20,15,-0.6026885645119822,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.1, 'e': 0.6499999999999997}",25,0,-29.77124198655052,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.1, 'e': 0.6399999999999997}",20,0,-26.894804591126533,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
37,False,"{'a': 0.1, 'e': 0.6299999999999997}",25,0,-98.19082250808947,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.1, 'e': 0.6199999999999997}",25,6,-32.271262863383626,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
39,False,"{'a': 0.1, 'e': 0.6099999999999997}",20,0,-56.300134954320086,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,0,-177.60799540688384,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
41,False,"{'a': 0.1, 'e': 0.5899999999999996}",30,8,-70.14319091027856,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
42,False,"{'a': 0.1, 'e': 0.5799999999999996}",20,0,-41.123351578268014,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.5699999999999996}",25,0,-142.22140405952211,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
44,False,"{'a': 0.1, 'e': 0.5599999999999996}",20,0,-73.7620186357313,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,0,-11.77691721976232,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.1, 'e': 0.5399999999999996}",25,0,5.184365855332944,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.5299999999999996}",20,0,-48.93378085081605,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
48,False,"{'a': 0.1, 'e': 0.5199999999999996}",20,0,-32.44667260167841,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.1, 'e': 0.5099999999999996}",25,0,-57.51646474761903,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.49999999999999956}",20,0,-9.895488936363853,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.48999999999999955}",20,0,-96.08155899510652,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.47999999999999954}",20,0,-118.02546329698686,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.1, 'e': 0.46999999999999953}",20,5,20.28059584623068,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.4599999999999995}",30,0,-7.982502605851297,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
